id,name,city,cuisine,rating,cost
531342,Janta Sweet House,abohar,"sweets,bakery",4.4,200.0
158203,theka coffee desi,abohar,beverages,3.8,100.0
187912,Singh Hut,abohar,"fast food,indian",3.7,250.0
158204,Sam Uncle,abohar,continental,3.6,200.0
156588,shere punjab veg,abohar,north indian,4.0,150.0
156602,Hinglaj Kachori Bhandhar,abohar,"snacks,chaat",4.2,100.0
156590,Sethi Milk Badam,abohar,"sweets,desserts",4.2,100.0
156587,Bharawan Da Dhaba,abohar,indian,4.4,300.0
394554,Roll Express,abohar,fast food,4.0,200.0
530909,FOODY MOOD,abohar,"fast food,chinese",4.7,300.0
420675,Royal Chicken,abohar,"mughlai,north indian",4.2,200.0
171675,Domino's Pizza,abohar,pizzas,4.4,400.0
351387,NIKKU VEG THALI,abohar,north indian,4.1,150.0
461724,SUDESH FAST FOOD,abohar,"bakery,chinese",4.0,250.0
161405,Bihari da vaishno dhaba,abohar,north indian,4.0,200.0
224008,Sharma Bakery,adilabad,bakery,3.5,100.0
165533,IFC Restaurant,adilabad,american,3.5,400.0
225827,Ayappa Fast Food,adilabad,chinese,3.6,100.0
242943,Hot N Chill Restaurant,adilabad,"european,italian",3.5,150.0
186286,China Kitchen Fast Food,adilabad,"chinese,fast food",3.1,150.0
166613,Devi Family Restaurant,adilabad,"indian,chinese",3.4,400.0
186289,Hotel Radha Grand Family restaurant,adilabad,biryani,3.5,200.0
165532,Hotel Surabhi Grand,adilabad,"indian,chinese",3.7,300.0
169281,Food Court,adilabad,"indian,chinese",3.4,400.0
167432,Minerva Ice Cream,adilabad,desserts,4.0,250.0
226299,Lotus Grand Family Restaurant,adilabad,biryani,3.6,250.0
167412,Sri Sai Mom's Kitchen Restaurant,adilabad,biryani,3.3,400.0
165530,Renuka Hotel,adilabad,south indian,3.1,250.0
255925,Tanishq Family Restaurant,adilabad,"chinese,indian",3.7,250.0
225921,KMC Hotel,adilabad,biryani,3.6,100.0
321587,Kwality Walls Frozen Dessert and Ice Cream Shop,adityapur,desserts,4.8,300.0
439487,La Pino'z Pizza,adityapur,"pizzas,fast food",4.1,200.0
397980,Chaw Box,adityapur,"chinese,north indian",3.3,300.0
304302,Cafe Coffee Day,adityapur,"beverages,snacks",3.7,300.0
533186,Aditya Inn Restaurant,adityapur,"biryani,chinese",3.6,150.0
138890,Indian Bakery,adityapur,bakery,3.3,200.0
137701,The Onyx (Pure veg),adityapur,"indian,chinese",3.8,300.0
133352,NEW GANGOUR SWEETS (Adityapur),adityapur,south indian,4.0,200.0
150497,National Bakery,adityapur,"bakery,snacks",4.4,399.0
113948,KFC,adityapur,"american,snacks",4.0,400.0
412357,Buddha Delight - Gamharia,adityapur,"chinese,indian",3.5,200.0
102037,Dosa Planet,adityapur,"south indian,indian",3.9,249.0
101351,Pizza Hut,adityapur,pizzas,3.3,350.0
102842,Junction,adityapur,"indian,chinese",3.9,399.0
138891,Kolkata Royal Biryani,adityapur,"biryani,street food",3.7,150.0
143143,Yummerica Fries,adityapur,"american,beverages",3.8,400.0
558957,Tandoori Hut,adityapur,"north indian,tandoor",4.4,400.0
489011,Karim's,adityapur,"snacks,kebabs",2.7,500.0
116273,New Gangour Sweets (Bistupur),adityapur,sweets,4.3,99.0
